,episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
0,1,50,0,14.825,0,1.0,0.17261904761904762,10.0,4.113095238095238,0.21551724137931028,0.24404761904761904,1.8999999999999995,0.9434523809523806,0.9,0.22630417735956593,1,9
0,2,50,0,19.25,0,1.0,0.21,11.0,4.44,0.07432432432432434,0.0,2.699999999999998,0.9139999999999996,0.7000000000000002,0.4593005025125617,0,3
0,3,50,0,14.35,0,1.0,0.1949685534591195,12.0,4.3081761006289305,0.3214285714285714,0.06289308176100629,2.999999999999997,0.9515723270440248,0.7000000000000001,0.5241589045458152,1,5
0,4,50,0,12.425,0,1.0,0.22077922077922077,12.0,4.259740259740259,0.3076923076923077,0.045454545454545456,3.3999999999999977,1.2103896103896101,0.9,0.8903488668194539,2,6
0,5,50,0,17.15,0,1.0,0.1977401129943503,11.0,4.3559322033898304,0.18939393939393945,0.0,2.5999999999999983,1.0395480225988698,0.9000000000000005,0.4006997945557261,1,8
0,6,50,0,18.7,0,1.0,0.21025641025641026,12.0,4.671794871794872,0.14189189189189189,0.2923076923076923,2.9999999999999973,1.111282051282051,0.8000000000000004,0.5731710282844289,1,5
0,7,50,0,12.575,0,1.0,0.18831168831168832,12.0,4.1103896103896105,0.3653846153846154,0.012987012987012988,3.0999999999999974,0.9103896103896101,0.8000000000000003,0.26015278838808187,2,13
0,8,50,0,15.85,0,1.0,0.19318181818181818,10.0,4.420454545454546,0.185483870967742,0.3522727272727273,2.499999999999999,1.0795454545454541,0.8999999999999997,0.456264935064934,1,6
0,9,50,0,18.7,0,1.0,0.215,10.0,4.315,0.05555555555555558,0.075,1.8999999999999981,0.839,0.7999999999999998,0.18440100502512508,0,6
0,10,50,0,15.325,0,1.0,0.23809523809523808,10.0,4.063492063492063,0.1370967741935485,0.12698412698412698,1.9999999999999982,0.8021164021164019,0.6999999999999998,0.2843571991444325,1,7
0,11,50,0,14.475,0,1.0,0.1797752808988764,12.0,4.168539325842697,0.21666666666666656,0.24157303370786518,3.5999999999999974,0.9730337078651685,0.6000000000000005,0.8008506316257203,2,8
0,12,50,0,17.85,0,1.0,0.2205128205128205,11.0,4.461538461538462,0.12142857142857144,0.0,2.599999999999998,0.985128205128205,0.8,0.42519006079830723,1,9
0,13,50,0,16.825,0,1.0,0.1912568306010929,11.0,4.39344262295082,0.1742424242424243,0.546448087431694,2.499999999999997,1.039890710382513,0.8999999999999997,0.5031802077703703,1,6
0,14,50,0,11.3,0,1.0,0.20588235294117646,10.0,3.9044117647058822,0.38636363636363635,0.0,2.0999999999999974,1.0110294117647052,1.0499999999999994,0.3138774509803912,2,6
0,15,50,0,17.725,0,1.0,0.19047619047619047,12.0,4.4603174603174605,0.16428571428571437,0.6984126984126984,3.099999999999997,1.04021164021164,0.8,0.5652893166722941,1,7
0,16,50,0,12.2,0,1.0,0.19230769230769232,11.0,4.130769230769231,0.41666666666666663,0.0,2.699999999999998,1.1338461538461533,0.9999999999999998,0.456985092426952,2,13
0,17,50,0,15.05,0,2.0,0.22077922077922077,14.0,4.974025974025974,0.3833333333333333,0.07792207792207792,4.399999999999997,1.4285714285714275,1.4999999999999991,0.7390476190476174,2,10
