,episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
0,1,50,0,17.200000000000003,0,1.0,0.2345679012345679,15.0,4.944444444444445,0.34090909090909094,0.3888888888888889,5.1000000000000005,1.424691358024691,1.1999999999999997,1.554293382409323,1,5
0,2,50,0,18.075000000000003,0,1.0,0.24338624338624337,13.0,5.285714285714286,0.18243243243243246,0.47619047619047616,4.299999999999998,1.5513227513227508,1.0999999999999992,1.4396391984689838,2,12
0,3,50,0,21.400000000000002,0,1.0,0.215,14.0,5.245,0.13372093023255816,0.83,4.299999999999999,1.3969999999999994,1.0999999999999988,0.8980814070351751,0,5
0,4,50,0,20.9,0,1.0,0.205,12.0,4.995,0.08749999999999991,0.455,3.299999999999997,1.2469999999999994,1.0,0.6942623115577874,0,5
0,5,50,0,17.0,0,1.0,0.23728813559322035,13.0,4.694915254237288,0.22058823529411775,0.3502824858757062,3.899999999999999,1.242937853107344,0.9000000000000002,0.9456458654340006,1,4
0,6,50,0,15.525,0,1.0,0.2606060606060606,11.0,4.206060606060606,0.25,0.03636363636363636,2.799999999999998,0.9333333333333333,0.7000000000000001,0.4988211382113813,1,5
0,7,50,0,16.05,0,1.0,0.24242424242424243,13.0,4.63030303030303,0.28125,0.0,3.8999999999999977,1.187878787878787,1.0999999999999983,0.6719253510716915,1,6
0,8,50,0,21.575000000000003,0,1.0,0.265,14.0,5.625,0.13636363636363646,0.82,4.299999999999998,1.6249999999999993,1.0999999999999999,1.3350502512562794,0,3
0,9,50,0,21.8,0,1.0,0.255,14.0,5.54,0.125,0.53,4.199999999999997,1.5739999999999994,1.0499999999999998,1.485149748743716,0,4
0,10,50,0,21.150000000000002,0,1.0,0.245,13.0,5.205,0.1071428571428572,0.29,3.5999999999999983,1.3729999999999998,0.9000000000000005,1.0034884422110535,0,4
0,11,50,0,16.675,0,1.0,0.2033898305084746,14.0,4.7740112994350286,0.25,0.9548022598870056,4.1999999999999975,1.2903954802259878,1.0999999999999996,0.6604185927067271,1,7
0,12,50,0,22.700000000000003,0,1.0,0.235,14.0,5.14,0.125,0.1,4.1999999999999975,1.3339999999999994,0.9999999999999998,0.916024120603013,0,4
0,13,50,0,21.050000000000004,0,1.0,0.25,14.0,5.275,0.16463414634146334,0.295,4.399999999999998,1.4149999999999998,0.9,1.2548492462311536,0,3
0,14,50,0,18.075,0,1.0,0.30601092896174864,14.0,4.502732240437158,0.22297297297297303,0.22950819672131148,4.1999999999999975,1.1054644808743166,0.8,0.8153545907644258,1,7
0,15,50,0,21.975,0,1.0,0.24,14.0,5.385,0.12209302325581395,0.64,4.1999999999999975,1.4809999999999997,1.0999999999999994,1.0621497487437166,0,3
0,16,50,0,21.475,0,1.0,0.245,14.0,5.13,0.15476190476190466,0.53,4.1999999999999975,1.3279999999999996,0.8500000000000004,1.070769849246229,0,5
0,17,50,0,19.525,0,1.0,0.255,13.0,5.085,0.13749999999999996,0.8,3.699999999999998,1.3009999999999997,0.9999999999999998,0.8611045226130638,1,7
0,18,50,0,21.5,0,1.0,0.235,12.0,4.925,0.09146341463414642,0.425,3.1999999999999975,1.2049999999999996,0.9,0.7217839195979886,0,4
0,19,50,0,20.525000000000002,0,2.0,0.24,15.0,5.1,0.13749999999999996,0.425,5.099999999999998,1.3099999999999994,0.9999999999999997,1.0961809045226119,0,2
0,20,50,0,21.674999999999997,0,1.0,0.255,13.0,4.97,0.11046511627906974,0.23,3.7999999999999976,1.2319999999999995,0.9,0.8263075376884408,0,6
0,21,50,0,20.9,0,1.0,0.275,13.0,5.04,0.10365853658536595,0.365,3.699999999999997,1.2739999999999996,0.9999999999999992,0.8893708542713551,0,4
0,22,50,0,18.775,0,1.0,0.20765027322404372,13.0,5.136612021857924,0.22297297297297303,0.24043715846994534,3.699999999999997,1.4857923497267753,1.1,1.2584783522488416,1,4
0,23,50,0,19.900000000000002,0,1.0,0.24,15.0,5.53,0.16463414634146334,1.05,5.000000000000002,1.5679999999999996,1.0999999999999996,1.5384683417085423,1,7
0,24,50,0,20.775000000000002,0,1.0,0.215,13.0,5.16,0.09146341463414642,0.34,3.8999999999999972,1.3459999999999994,1.1,0.6792804020100489,0,3
0,25,50,0,22.7,0,2.0,0.255,15.0,5.4,0.1477272727272727,0.18,4.799999999999999,1.4899999999999998,0.8500000000000005,1.4905527638190932,0,3
0,26,50,0,20.35,0,1.0,0.24867724867724866,15.0,5.862433862433862,0.22619047619047628,0.4973544973544973,5.100000000000001,1.881481481481481,1.5999999999999988,1.9808786446020479,2,12
0,27,50,0,10.4,0,1.0,0.27692307692307694,12.0,3.8384615384615386,0.4642857142857143,0.0,3.1999999999999975,0.9584615384615383,0.6500000000000004,0.7309743589743576,2,5
0,28,50,0,21.675,0,1.0,0.255,14.0,5.11,0.13372093023255816,0.315,4.399999999999997,1.3159999999999996,0.8000000000000005,1.2130090452261286,0,2
0,29,50,0,19.95,0,1.0,0.22,12.0,4.735,0.09615384615384626,0.24,3.0999999999999974,1.0909999999999997,0.8,0.6411246231155766,0,5
0,30,50,0,20.55,0,1.0,0.26,13.0,4.9,0.08333333333333326,0.15,3.6999999999999975,1.1899999999999995,1.0999999999999979,0.5944723618090441,0,7
0,31,50,0,21.400000000000002,0,1.0,0.22,13.0,5.06,0.1071428571428572,0.125,3.8999999999999972,1.2859999999999996,1.0,0.7222150753768832,0,3
0,32,50,0,20.075000000000003,0,1.0,0.225,16.0,5.305,0.17500000000000004,0.385,5.400000000000001,1.4329999999999998,0.9999999999999992,1.4764934673366825,0,2
0,33,50,0,20.300000000000004,0,1.0,0.26804123711340205,14.0,5.634020618556701,0.1785714285714286,0.3402061855670103,4.7,1.6984536082474222,1.1,1.675489824261523,1,5
0,34,50,0,22.150000000000002,0,1.0,0.27,14.0,5.535,0.13372093023255816,0.615,4.499999999999998,1.5709999999999993,1.0,1.5754361809045203,0,3
0,35,50,0,19.825,0,1.0,0.2698412698412698,14.0,5.264550264550264,0.19999999999999996,0.37566137566137564,4.1999999999999975,1.5227513227513219,1.0,1.442405155915792,1,6
0,36,50,0,17.55,0,1.0,0.22033898305084745,12.0,4.740112994350283,0.20714285714285707,0.6384180790960452,3.099999999999997,1.2700564971751407,1.0,0.6541551104262954,1,8
0,37,50,0,21.450000000000003,0,1.0,0.255,15.0,5.56,0.17045454545454541,0.735,4.8,1.5859999999999994,1.0500000000000003,1.4512603015075358,0,3
0,38,50,0,20.725,0,1.0,0.24,15.0,5.465,0.1428571428571428,0.605,4.999999999999998,1.5289999999999995,1.1000000000000003,1.1828733668341693,0,3
0,39,50,0,20.25,0,1.0,0.245,14.0,5.085,0.12804878048780477,0.3,4.199999999999997,1.3009999999999997,0.8999999999999998,1.083014070351757,0,4
0,40,50,0,16.900000000000002,0,1.0,0.23636363636363636,15.0,5.193939393939394,0.32352941176470584,0.3575757575757576,4.999999999999998,1.526060606060605,1.3999999999999995,1.0941337767923125,1,4
0,41,50,0,21.075000000000003,0,1.0,0.23,13.0,4.955,0.11585365853658547,0.305,3.599999999999998,1.2229999999999996,0.9,0.7441919597989936,0,2
0,42,50,0,16.55,0,1.0,0.22807017543859648,12.0,5.023391812865497,0.23484848484848486,0.2631578947368421,3.199999999999997,1.4426900584795315,1.2000000000000004,0.7779903680770536,1,2
0,43,50,0,21.3,0,1.0,0.245,15.0,5.46,0.16666666666666674,0.36,4.799999999999999,1.5259999999999996,0.9999999999999998,1.4007276381909526,0,2
